pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_spectype,st_teff,st_rad,st_mass,st_met,sy_dist,st_spectype_main,st_spectype_encoded,Habitability_Score,temp_deviance,rad_deviance,Stellar_Compatibility,Is_Habitable
51 Eri b,51 Eri,3.0,1.0,Imaging,2015.0,51.997325585,2.3,191.96932,797.0,10.4,G0 V,5613.0,0.951815,1.75,-0.0039,29.7575,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
51 Eri b,51 Eri,3.0,1.0,Imaging,2015.0,51.997325585,2.3,191.96932,797.0,12.0,G0 V,7033.99,1.48726,1.65,-0.0039,29.7575,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
51 Eri b,51 Eri,3.0,1.0,Imaging,2015.0,51.997325585,2.3,191.96932,797.0,14.0,G0 V,7033.99,1.48726,1.65,-0.0039,29.7575,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
51 Peg b,51 Peg,1.0,1.0,Radial Velocity,1995.0,4.2307969,2.3,191.96932,797.0,0.05235,G0 V,5760.76,1.186744,1.069296,0.2058,15.4614,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
51 Peg b,51 Peg,1.0,1.0,Radial Velocity,1995.0,4.23077,2.3,191.96932,797.0,0.052,G0 V,5613.0,0.951815,0.959,-0.0039,15.4614,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
51 Peg b,51 Peg,1.0,1.0,Radial Velocity,1995.0,4.230785,2.3,191.96932,797.0,0.0527,G0 V,5758.0,1.17561,1.03,0.18,15.4614,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
51 Peg b,51 Peg,1.0,1.0,Radial Velocity,1995.0,4.2293,2.3,191.96932,797.0,0.10086,G0 V,5773.0,1.29,0.959,0.2,15.4614,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
51 Peg b,51 Peg,1.0,1.0,Radial Velocity,1995.0,4.231,2.3,191.96932,797.0,0.052,G0 V,5613.0,0.951815,1.04,-0.0039,15.4614,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
55 Cnc B b,55 Cnc B,2.0,7.0,Radial Velocity,2025.0,6.7994,2.3,191.96932,797.0,0.044,M4.5 V,4045.3500000000004,0.274,0.26,0.16,12.4773,M,5,0.24585965511353933,1.7673611111111112,1.2999999999999998,0.5,0
55 Cnc B c,55 Cnc B,2.0,7.0,Radial Velocity,2025.0,33.747,2.3,191.96932,797.0,0.13,M4.5 V,4045.3500000000004,0.274,0.26,0.16,12.4773,M,5,0.24585965511353933,1.7673611111111112,1.2999999999999998,0.5,0
