pl_orbper,pl_rade,pl_eqt,st_teff,st_lum,pl_dens,pl_insol,st_met,st_spectype,st_spectral_score,pl_bmasse,sy_dist
123.05,2.3,797.0,4500.0,1.99,1.307,86.27,-0.2,Unknown,0.0,0,0
307.88,2.3,797.0,5004.0,-0.08124,1.307,86.27,-0.09,K,2.0,0,0
392.6,2.3,797.0,4414.0,1.69,1.307,86.27,-0.2,K,2.0,0,0
733.0,2.3,797.0,4534.0,1.64,1.307,86.27,-0.13,Unknown,0.0,0,0
2590.0,2.3,797.0,4943.0,1.47,1.307,86.27,-0.19,K,2.0,0,0
265.59,2.3,797.0,5012.0,-0.08124,1.307,86.27,0.18,K,2.0,0,0
10.3311664,14.68376472,1303.0,4993.0,0.35595,1.307,86.27,-0.0014,K,2.0,0,0
1230.0,2.3,797.0,5000.0,-0.08124,1.307,86.27,-0.09,K,2.0,0,0
1198.48,2.3,797.0,5000.0,-0.08124,1.307,86.27,-0.09,K,2.0,0,0
3.8728,2.3,797.0,4324.0,-1.022,1.307,86.27,-0.14,K,2.0,0,0
3.873,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
125.94,2.3,797.0,4324.0,-1.022,1.307,86.27,-0.14,K,2.0,0,0
5.6,2.3,797.0,4746.0,-0.08124,1.307,86.27,-0.07,K,2.0,0,0
5.6,2.3,797.0,4816.0,-0.08124,1.307,86.27,-0.06,Unknown,0.0,0,0
5.6,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
237.6,2.3,797.0,4746.0,-0.08124,1.307,86.27,-0.07,K,2.0,0,0
3.487,2.3,797.0,5400.0,-0.08124,1.307,86.27,0.5,K,2.0,0,0
3.48777,2.3,797.0,5393.0,-0.08124,1.307,86.27,0.382,Unknown,0.0,0,0
3.48777,2.3,797.0,5393.0,-0.08124,1.307,86.27,0.38,Unknown,0.0,0,0
3.487905,2.3,797.0,5382.64,-0.08124,1.307,86.27,0.37,Unknown,0.0,0,0
1634.0,2.3,797.0,4550.0,-0.8041,1.307,86.27,-0.35,Unknown,0.0,0,0
1667.0,2.3,797.0,4475.0,-0.08124,1.307,86.27,-0.48,K,2.0,0,0
74.2,2.3,797.0,4550.0,-0.8041,1.307,86.27,-0.35,Unknown,0.0,0,0
714.29999,2.3,797.0,4545.0,-0.08124,1.307,86.27,-0.08,Unknown,0.0,0,0
714.3,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
4.2889696,20.7112,1404.0,6736.9,-0.08124,1.307,646.761,-0.0014,Unknown,0.0,0,0
4.2889731,21.59,2001.0,6935.0,1.06,2.15,86.27,-0.34,Unknown,0.0,0,0
655.59998,2.3,797.0,4665.0,-0.08124,1.307,86.27,0.01,Unknown,0.0,0,0
655.6,2.3,797.0,4714.0,-0.678,1.307,86.27,-0.03,K,2.0,0,0
649.0,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
655.57,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
1891.0,2.3,797.0,4051.0,-0.86967,1.307,0.02,0.12,K,2.0,0,0
6360.0,2.3,797.0,4051.0,-0.86967,1.307,0.0039,0.12,K,2.0,0,0
6240.0,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,K,2.0,0,0
6374.0,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
547.0,2.3,797.0,6033.0,-0.08124,1.307,86.27,-0.02,Unknown,0.0,0,0
1823.5,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,G,3.0,0,0
3.1533,2.3,400.0,3195.0,-2.44977,1.307,6.76,-0.56,M,1.0,0,0
3.1542,2.3,438.0,3195.0,-2.44977,1.307,86.27,-0.56,M,1.0,0,0
4.1244,2.3,400.0,3195.0,-2.44977,1.307,86.27,-0.56,M,1.0,0,0
2.3402,2.3,483.0,3195.0,-2.44977,1.307,86.27,-0.56,M,1.0,0,0
6.7392,2.3,340.0,3195.0,-2.44977,1.307,86.27,-0.56,M,1.0,0,0
2.2907,2.3,464.0,3130.0,-2.53254,1.307,8.6,0.13,M,1.0,0,0
10.3311664,17.37392009,797.0,3689.0,-0.08124,1.307,86.27,-0.16,M,1.0,0,0
10.3311664,2.3,1800.0,3680.0,-0.08124,1.307,86.27,0.04,M,1.0,0,0
10037.5,2.3,370.0,580.5,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
8040000.0,20.8487041,1800.0,2320.0,-2.85,1.307,86.27,-0.0014,M,1.0,0,0
10.3311664,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,M,1.0,0,0
25.2,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
10.3311664,12.44196858,797.0,3406.0,-1.732,1.307,86.27,0.0,M,1.0,0,0
402000000.0,12.44196858,434.0,3406.0,-1.732,1.307,86.27,0.0,M,1.0,0,0
10.3311664,24.66,2600.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
1.5089635,20.5944,2036.0,5950.0,-0.08124,1.307,2852.63,-0.0014,Unknown,0.0,0,0
1.5089686,17.385159,1915.0,5950.0,-0.08124,0.344,86.27,-0.3,Unknown,0.0,0,0
1.5089557,16.7,1898.0,5950.0,-0.08124,0.38,86.27,-0.3,G,3.0,0,0
1.508968772,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
1.5089557,16.58932,797.0,5950.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
1.5089682,19.223435,797.0,6298.0,-0.08124,0.302,86.27,0.06,Unknown,0.0,0,0
1.508976552,15.91678,1834.0,5950.0,-0.08124,0.44,86.27,-0.3,Unknown,0.0,0,0
13.2406,10.87273,797.0,5075.0,-0.08124,3.69,86.27,0.26,Unknown,0.0,0,0
13.2406,10.87,600.0,5075.0,-0.08124,3.7,86.27,0.26,K,2.0,0,0
13.2406,10.547669,647.0,5075.0,-0.08124,4.16,86.27,0.26,Unknown,0.0,0,0
13.23412611,7.38532555,510.96,5025.0,-0.08124,1.307,16.1089,-0.0014,Unknown,0.0,0,0
2.99433,15.984034,1735.0,6440.0,-0.08124,1.0,86.27,-0.03,Unknown,0.0,0,0
2.99427803,2.3,797.0,6440.0,-0.08124,1.307,86.27,-0.03,F,4.0,0,0
2.993281974,21.74555811,1681.79,6343.0,-0.08124,1.307,1890.649,-0.0014,Unknown,0.0,0,0
10.3311664,2.3,797.0,6343.0,-0.08124,1.307,86.27,0.04,Unknown,0.0,0,0
2.99433,16.03,1657.0,6440.0,-0.08124,0.99,86.27,-0.03,F,4.0,0,0
