pl_orbper,pl_orbsmax,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,st_lum,pl_rade,pl_insol,temp_score,radius_score,insol_score,habitability_score,habitability_label
19.482,0.1249,14.3,490.1,4285.0,0.703,0.686,-0.82333,2.73,9.581,0.2982638888888888,0.0,0.0,0.11930555555555551,0
10.0546535,0.0747,5.11,501.3,3844.0,0.546,0.549,-1.23136,2.078,10.5,0.2593749999999999,0.0,0.0,0.10374999999999997,0
24.646729,0.1357,2.68,371.8,3844.0,0.546,0.549,-1.23136,1.582,3.17,0.7090277777777778,0.4179999999999999,0.0,0.4090111111111111,0
44.55603,0.2014,2.2,305.2,3844.0,0.546,0.549,-1.23136,1.458,1.44,0.9402777777777778,0.542,0.56,0.7067111111111112,1
12.4551225,0.1016,82.6358,650.0,5282.0,0.822,0.901,-0.32514,8.675766,45.7,0.0,0.0,0.0,0.0,0
1.422614,0.0223,3.9,1224.0,4916.0,0.718,0.79,-0.57,1.43,529.0,0.0,0.5700000000000001,0.0,0.171,0
5.340888,0.054,7.8,788.0,4916.0,0.718,0.79,-0.57,3.2,90.0,0.0,0.0,0.0,0.0,0
4.01593,0.04994,7.3,1266.0,5731.0,1.06,1.03,0.03743,1.54,426.0,0.0,0.45999999999999996,0.0,0.13799999999999998,0
10.56103,0.09514,8.3,916.0,5731.0,1.06,1.03,0.03743,2.29,117.0,0.0,0.0,0.0,0.0,0
4.0179694,0.027,7.5,412.4,3173.0,0.1965,0.1635,-2.45469,1.015,4.82,0.5680555555555556,0.9850000000000001,0.0,0.5227222222222223,1
20.35847252,0.1208,196.0,377.0,3711.0,0.541,0.562,-1.27654,10.55,3.3,0.6909722222222222,0.0,0.0,0.2763888888888889,0
4.1662739,0.0525,215.80657,1377.0,5948.0,1.209,1.112,0.21748,15.681391,600.0,0.0,0.0,0.0,0.0,0
4.736529,0.06229,61.97685,1712.0,5370.0,2.72,1.438,0.74429,15.35633,1433.0,0.0,0.0,0.0,0.0,0
5.031623,0.06708,301.9385,1800.0,6279.0,2.37,1.591,0.89209,19.95202,1749.0,0.0,0.0,0.0,0.0,0
2.8717518,0.0455,375.0394,2085.0,6670.0,1.908,1.524,0.81291,17.59813,3152.0,0.0,0.0,0.0,0.0,0
4.6117093,0.0637,1293.5681,1935.0,7500.0,1.83,1.62,0.97772,21.40919,2340.0,0.0,0.0,0.0,0.0,0
3.4741085,0.0542,1074.90106,2262.0,8720.0,1.565,1.76,1.1038,19.514869,4362.5,0.0,0.0,0.0,0.0,0
3.6127647,0.05224,1242.7153,2051.0,7598.0,1.638,1.458,0.90472,17.777474,2950.0,0.0,0.0,0.0,0.0,0
2.255251,0.03302,298.12454,1561.0,5899.0,0.996,0.944,0.03383,14.829507,991.183,0.0,0.0,0.0,0.0,0
5.5514926,0.06969,1646.3594,1459.0,6509.0,1.506,1.46,0.56467,14.257848,750.9,0.0,0.0,0.0,0.0,0
5.55149296,0.0665,1458.83238813,1391.0,6426.0,1.338,1.268,0.43933,12.71098411,624.0,0.0,0.0,0.0,0.0,0
2.9895932,0.04317,286.68266,1823.0,6206.0,1.603,1.201,0.53529,19.044091,1840.0,0.0,0.0,0.0,0.0,0
1.4811235,0.03462,915.3504,4050.0,10170.0,2.362,2.52,1.72428,21.196219,44900.0,0.0,0.0,0.0,0.0,0
67.1277,0.363,346.43296363,659.0,6160.0,1.667,1.407,0.62325,12.03844527,45.0,0.0,0.0,0.0,0.0,0
224.77833,0.751,222.4798849,352.2,5914.0,1.145,1.118,0.15836,7.0840758,2.48,0.7770833333333333,0.0,0.0,0.31083333333333335,0
10.3134,0.0753,0.07,452.0,3841.0,0.535,0.535,-1.25181,0.64,9.9,0.4305555555555556,0.64,0.0,0.3642222222222222,0
13.7815,0.0913,2.3,410.0,3841.0,0.535,0.535,-1.25181,1.51,6.8,0.5763888888888888,0.49,0.0,0.37755555555555553,0
23.0923,0.1288,2.1,345.0,3841.0,0.535,0.535,-1.25181,1.51,3.4,0.8020833333333334,0.49,0.0,0.4678333333333333,0
217.83184,0.753,1678.1424,387.9,6145.0,1.289,1.196,0.32838,12.419572,3.23,0.6531250000000001,0.0,0.0,0.26125000000000004,0
1047.8356,2.026,158.915,206.0,5597.0,1.179,1.011,0.08991,9.180171,0.3,0.7152777777777778,0.0,0.30000000000000004,0.3761111111111112,0
988.88112,2.027,1322.16617312,253.8,5746.0,1.697,1.132,0.45179,11.94877343,0.342,0.8812500000000001,0.0,0.3420000000000001,0.45510000000000006,0
30.1556,0.202,56.0,586.0,4965.0,2.861,1.227,0.64933,3.955,110.0,0.0,0.0,0.0,0.0,0
